bedrooms,square_footage,distance_to_city_center,sea_view,price
3,1301,1.6979068111056588,0,159387.74220266182
4,1758,19.188134996683186,0,230109.57111837578
1,1968,16.697908220085353,1,256163.0613149153
3,2024,16.214624055467624,0,280124.94315316813
3,1728,12.965780536926909,0,212777.539264844
4,1260,5.110156437694517,0,175480.8351789296
1,1531,10.846946966851451,0,220029.60230988785
1,1551,12.348207376176479,1,219261.53019813696
3,1724,10.975598516345094,1,262665.3681577856
2,1708,5.944433991079019,1,276293.8117062025
3,2381,10.789710561979792,1,318189.0898555004
3,2370,10.332540476503905,1,331098.4885296201
3,2076,19.930379740327762,1,246996.7720914362
3,1189,18.051286812877873,1,190244.60486948193
4,2417,9.804234216096779,1,321500.13344662794
1,1682,12.835810275767255,1,223858.60356987748
4,1055,15.209560477752342,1,188457.766946958
4,1508,1.6624380444426734,0,224030.03014340435
4,1249,18.00350738332896,1,167510.54113146407
3,809,17.342409511940552,0,116689.74743989333
2,1623,9.69120985770044,0,221441.87034413393
1,1597,8.432225555527216,0,223424.50736656456
2,2065,6.186228122269984,0,274954.721559328
4,2074,10.056859738277,1,285846.2194468939
4,1676,1.8431566071314986,0,228951.82640388192
2,1828,17.191677133593146,1,280065.4527376102
2,1942,1.6730249999523563,1,257347.3504645697
2,1815,7.251975942027549,0,223554.26625088535
4,1173,18.70020027806081,1,194479.96752033304
4,1888,14.969040435945603,0,251474.27906352107
1,945,6.346428250973009,0,134807.74526146014
1,1023,5.800332785256817,1,167625.02006316415
4,2062,1.0965606565424935,1,285902.31573841715
2,976,14.218571564145254,0,158464.30140266696
2,1652,1.9268880517902889,1,233056.70156957998
1,2105,11.119447868614479,1,251538.33773305424
4,862,19.280317479248946,1,166969.9988994537
1,2040,3.0799083410346237,0,236439.87482033644
1,1626,17.99511868839328,0,241559.21344831464
3,1594,19.838031367755914,1,234044.5926183078
3,1488,2.168823498545466,1,200859.77062482233
3,2284,17.775219113611765,1,306956.7440792049
2,2433,10.805501388428716,1,344716.74239605817
4,904,18.22376066944702,1,183328.19731761588
4,1922,11.855059896471907,0,253725.87296035464
4,1310,13.580128192024727,1,182468.16291507523
4,1184,11.331799251950585,0,207697.90162130172
3,1204,17.42536472583962,1,187580.13888220175
2,1622,14.944288460120333,0,238947.82248750702
2,1317,10.903945931427883,1,201244.71539868563
3,1275,17.495055276979393,0,203897.68508815448
2,1508,5.660425112851357,1,250367.69447393116
3,2468,3.9894725343479935,0,312657.48166532465
4,1570,4.04760200127137,0,225340.9001958345
3,2260,7.34616869615952,0,278604.3046249671
4,1846,5.535110594719333,0,229888.23245590346
4,1796,18.671716659685035,0,242901.83212555872
1,2388,3.010847782743096,0,283807.1337759872
3,1476,14.280824022752165,1,274984.4862276259
1,1513,4.595209255915112,0,184050.4388981473
3,2281,17.751105522636653,1,327917.25709312654
3,882,19.26499047551324,1,179076.43192853688
1,1968,9.843930166629688,1,276619.40924579353
1,1908,17.702358124334502,1,299548.90106044407
3,1901,1.0977582443395806,1,267516.42817419337
2,1256,16.578991430753902,0,171791.35732052865
4,800,5.343878068973547,0,139706.54657955494
1,850,18.26532487611799,0,140769.09705995442
4,1484,1.0212821181220804,1,230176.33443539403
2,1516,11.567452965755383,0,224245.19911546767
2,2269,15.376080271913759,0,268006.2812886755
2,1248,5.915078283260252,0,202264.26150168641
1,1680,4.669524427158568,0,215536.7653162101
2,1287,2.5978662648917084,0,189471.21158608943
1,833,7.202237953562566,1,169541.7223831952
2,2171,11.63704193386776,0,280866.29477954644
4,894,3.2010332788248954,1,160018.34628636105
4,1895,8.157211877749177,1,255006.65429902132
3,2374,1.1723756884017744,1,303506.29769813403
4,953,16.554908989496994,1,206080.89314532603
3,1049,3.440525643770636,1,160202.93407930413
4,1473,6.38351601704605,0,187306.89124926372
1,1237,1.350126656026132,0,159412.0868651388
4,917,9.212574893957735,0,150221.36504533218
3,1570,16.962308552083158,1,205887.04527628547
3,2129,8.450873017458736,0,240954.23938604147
2,1067,4.4104491450528345,0,154286.12791334125
1,1877,15.320277846959865,1,239904.63001751518
4,1035,15.987332655544142,1,158568.24014211603
